title;url;source_kind;accessed;rated_mAh;model;status;publication_date;date;DCIR_mOhm;dc1_mOhm;dc2_mOhm;estimated_CDR_A;rated_TL_A;note;sample1_mAh;sample2_mAh
Bench Test Results: EVE 58E - 16.8A 5700mAh 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-eve-58e-16-8a-5700mah-21700.990414/;Форум;2026-09-21;5700;EVE INR21700-58E;Текст статьи прочитан;2025-06-03T22:15:20+0100;2025-06-03;;;;;;;;
Bench Test Results: Great Power 50Q - 50A 5000mAh 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-great-power-50q-50a-5000mah-21700.994348/;Форум;2026-09-21;5000;Great Power 50Q;Текст статьи прочитан;2026-06-04T05:58:18+0100;2026-06-04;6.24;6.24;6.24;40;100;pre-production;;
https://www.e-cigarette-forum.com/threads/bench-test-results-imren-30a-4800mah-21700%E2%80%A6useless-30a-rating.844615/;https://www.e-cigarette-forum.com/threads/bench-test-results-imren-30a-4800mah-21700%E2%80%A6useless-30a-rating.844615/;Форум;2026-09-21;4800;Imren 21700 4800mAh 30A;"Только заголовок; текст не извлечён";;;;;;;;;;
Bench Test Results: LG H51T - 20A 5000mAh 21700 (pre-production?);https://www.e-cigarette-forum.com/threads/bench-test-results-lg-h51t-20a-5000mah-21700-pre-production.992064/;Форум;2026-09-21;5000;LG H51T;Текст статьи прочитан;2025-10-26T03:44:55+0000;2025-10-26;18.4;18.2;18.6;;;pre-production;;
Bench Test Results: LG M50LT - 14.4A 4932mAh 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-lg-m50lt-14-4a-4932mah-21700.979634/;Форум;2026-09-21;4932;LG M50LT;Текст статьи прочитан;2023-04-25T17:37:47+0100;2023-04-25;;;;14.4;;"14.4 А при окружающих 10–25 °C; 7.2 А при 25–55 °C. Для ресурса автор рекомендует ≤10 А даже при комнатной температуре. В таблице фото ёмкость округлена вниз до 4800 мА·ч.";4852;4878
Bench Test Results: LG M50T - 14.6A 5014mAh 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-lg-m50t-14-6a-5014mah-21700.979332/;Форум;2026-09-21;5014;LG M50T;Текст статьи прочитан;2023-04-10T10:53:52+0100;2023-04-10;;;;;;;;
Bench Test Results: LG M58T - 12.5A 5570mAh 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-lg-m58t-12-5a-5570mah-21700.990859/;Форум;2026-09-21;5570;LG M58T;Текст статьи прочитан;2025-06-29T05:54:32+0100;2025-06-29;18.85;18.6;19.1;;;;;
Bench Test Results: Linkdata 55P - 40A/50A 5500mAh 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-linkdata-55p-40a-50a-5500mah-21700.995029/;Форум;2026-09-21;5500;Linkdata 55P;Текст статьи прочитан;2026-08-12T06:59:12+0100;2026-08-12;4.94;5.04;4.84;;;pre-production;;
Bench Test Results: Linkdata 60P - 60A 6000mAh 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-linkdata-60p-60a-6000mah-21700.994389/;Форум;2026-09-21;6000;Linkdata 60P;Текст статьи прочитан;2026-06-09T05:09:10+0100;2026-06-09;7.36;7.36;7.36;30;60;pre-production;;
Bench Test Results: Linkdata 65P - 52A 6500mAh 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-linkdata-65p-52a-6500mah-21700.994761/;Форум;2026-09-21;6500;Linkdata 65P;Текст статьи прочитан;2026-07-14T05:25:40+0100;2026-07-14;6.22;6.28;6.16;25;52;pre-production;;
Bench Test Results: Lishen LR2170SD - 9.6A 5000mAh 21700…good performer, has bottom vent;https://www.e-cigarette-forum.com/threads/bench-test-results-lishen-lr2170sd-9-6a-5000mah-21700%E2%80%A6good-performer-has-bottom-vent.971061/;Форум;2026-09-21;5000;Lishen LR2170SD;Текст статьи прочитан;2021-12-10T13:32:41+0000;2021-12-10;;;;;;;;
Bench Test Results: Lishen LR2170SK - 16.95A 5800mAh 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-lishen-lr2170sk-16-95a-5800mah-21700.990568/;Форум;2026-09-21;5800;Lishen LR2170SK;Текст статьи прочитан;2025-06-16T20:54:31+0100;2025-06-16;;;;;;;;
Bench Test Results: Molicel M50A – 15A 4800/5000mAh 21700...outperforms the Samsung 50E;https://www.e-cigarette-forum.com/threads/bench-test-results-molicel-m50a-%E2%80%93-15a-4800-5000mah-21700-outperforms-the-samsung-50e.950981/;Форум;2026-09-21;5000;Molicel M50A;Текст статьи прочитан;2020-09-25T13:50:51+0100;2020-09-25;;;;;;pre-production;;
Bench Test Results: Molicel P50B - 60A 5000mAh 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-molicel-p50b-60a-5000mah-21700.988690/;Форум;2026-09-21;5000;Molicel P50B;"Только заголовок; текст не извлечён";;;;;;;;;;
Bench Test Results: Reliance RH60 - 20A 5850mAh 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-reliance-rh60-20a-5850mah-21700.993997/;Форум;2026-09-21;5850;Reliance RH60;Текст статьи прочитан;2026-05-02T21:23:59+0100;2026-05-02;;;;;;pre-production;;
